cvss_score,epss_score,kev_status,internet_exposed,patch_available,asset_criticality,control_effectiveness,open_vulnerability_count,high_vulnerability_count,business_criticality,exploited
7.59,0.0588,0,1,1,2,0.2792,0,1,1,1
6.2,0.2081,0,1,1,2,0.2237,0,1,3,1
7.92,0.0135,0,0,0,0,0.6955,1,3,0,0
9.85,0.0876,0,0,1,1,0.713,1,1,0,0
5.98,0.109,0,0,1,1,0.4295,0,0,2,0
5.98,0.0717,0,0,0,1,0.908,4,1,2,0
9.97,0.1754,0,1,1,0,0.4577,3,2,2,1
8.19,0.4062,0,0,1,1,0.4825,2,0,1,0
5.47,0.4037,0,0,0,1,0.541,1,2,1,1
7.69,0.3403,0,0,0,1,0.4893,3,0,1,0
5.48,0.0001,1,1,1,0,0.8693,2,0,1,1
5.48,0.3466,0,0,1,1,0.2896,1,0,3,0
7.03,0.0021,0,1,1,2,0.3614,3,4,1,1
2.29,0.0182,0,0,0,1,0.2521,1,2,0,0
2.71,0.0536,0,1,1,2,1.0,4,0,1,0
5.26,0.3406,0,0,0,2,0.4689,1,0,3,0
4.27,0.031,0,0,1,2,0.3579,3,1,1,0
7.19,0.0535,0,1,1,0,0.4782,0,1,1,0
4.5,0.0113,0,1,1,1,0.7623,5,0,1,0
3.39,0.1196,0,0,0,1,0.7159,1,0,0,0
9.72,0.004,0,1,1,3,0.4062,0,0,2,1
6.0,0.2947,1,1,0,2,0.4501,3,0,2,1
6.65,0.2199,0,0,0,1,0.1861,2,4,1,1
3.37,0.0729,0,1,1,0,0.5847,4,4,2,0
5.3,0.0041,0,0,1,1,0.8706,4,0,2,0
6.74,0.4115,0,1,1,1,0.4046,1,0,2,1
3.97,0.0277,0,0,1,2,0.709,1,1,2,0
7.33,0.0004,0,0,1,1,0.4045,0,1,2,0
5.18,0.074,0,1,1,1,0.2761,1,0,1,0
5.86,0.3604,0,0,1,0,0.7201,2,1,1,0
5.18,0.544,0,0,1,0,1.0,5,0,0,0
10.0,0.1468,0,1,1,1,0.6859,3,0,1,1
6.47,0.1763,0,1,1,1,0.4465,3,3,1,1
4.17,0.3506,0,0,1,1,0.4627,6,2,3,0
8.31,0.0106,0,0,1,2,1.0,1,0,1,0
3.81,0.0268,0,1,0,0,0.6267,3,3,2,1
6.96,0.3081,1,0,0,1,0.3585,2,0,1,1
2.19,0.3085,0,0,1,2,0.5344,2,1,3,0
3.58,0.0183,0,0,1,1,0.6038,4,0,1,0
6.93,0.0345,0,0,1,1,0.6673,5,0,1,0
8.12,0.267,0,0,0,1,0.928,2,1,1,1
6.88,0.1353,0,1,1,1,0.869,2,0,1,0
6.25,0.4549,0,1,0,0,0.5996,3,3,2,1
5.84,0.0307,0,0,1,0,0.5396,4,3,2,0
3.25,0.0833,0,0,0,0,0.649,1,0,2,0
4.92,0.3339,0,0,1,2,0.3979,0,1,1,0
5.49,0.0509,0,0,1,1,0.795,2,3,1,0
8.83,0.0077,0,0,1,3,0.4991,2,0,2,0
7.26,0.0284,0,1,1,2,0.6727,5,0,2,1
2.62,0.0025,0,0,1,2,0.9783,2,2,3,0
7.21,0.0445,0,1,1,2,0.6882,0,0,2,1
5.65,0.4719,1,1,1,0,0.6077,2,0,1,0
5.01,0.0632,0,0,1,1,0.4207,0,1,1,0
7.85,0.0788,0,0,1,3,0.5305,4,0,1,1
8.77,0.4389,0,1,1,0,0.266,4,0,1,0
8.55,0.0057,0,1,0,1,0.6833,2,1,0,1
4.65,0.095,1,1,1,0,0.0164,1,0,1,1
5.82,0.0086,0,0,1,1,0.7921,1,0,1,0
7.23,0.2144,0,1,1,0,0.7329,2,2,2,1
8.65,0.0069,0,0,1,1,0.5745,2,0,1,0
5.45,0.433,0,0,0,2,0.4167,1,1,1,0
6.09,0.1286,0,0,1,0,0.5459,1,0,2,0
4.07,0.1631,0,0,1,2,0.1065,2,3,2,1
3.87,0.4156,0,1,1,0,0.756,4,0,1,1
8.29,0.0434,0,0,1,0,0.509,2,1,0,0
9.48,0.1489,0,1,0,1,0.9288,2,0,1,1
6.34,0.7382,1,0,1,2,0.648,1,1,2,1
8.71,0.0076,0,1,1,2,0.6079,3,0,0,1
7.3,0.1064,0,0,0,1,0.6502,3,1,0,0
5.08,0.0323,1,1,1,0,0.3061,0,2,2,1
7.3,0.095,0,0,1,2,0.4373,1,4,1,0
9.88,0.0255,0,0,1,2,0.5832,4,1,2,0
6.42,0.0027,0,1,0,0,0.4744,2,1,2,1
9.94,0.0842,0,0,1,1,0.4059,2,0,1,0
